CodEqu,Descri,CosDia
CAR039,CORBATAS CON CUÑA P/ENCOFRADO,1.08
CAR040,BASE /TACO DE GOMA PARA LIJAR A MANO,1.09098
CAR041,CORBATA P/ENCOFRAR COLUMNA JGO 4 UNID L=,0.0252
CAR042,CEPILLO/ CEPILLADORA ELECTRICA P/MADERA,13.21
CAR043,FORMALETA METALICA PARA ENCOFRADO L=6 M,2.092
CAR044,"LIMA METALICA MANUAL 12""",0.2201
CAR045,MOTOSIERRA GRANDE,9.68976
CAR046,MOTOSIERRA PEQUEÑA,3.52352
CAR047,FORMALETA P/LOSA RETICULAR 90X90X25 CM,0.33032
COM001,EQUIPO PARA ALBAÑILERIA,28.23
COM002,EQUIPO BASICO PARA ALBAÑIL,15.84
COM004,EQUIPO DE SEGURIDAD PARA SOLDADURA,5.89
COM005,EQUIPO TIPO PLOMERIA H.G.,14.41
COM006,EQUIPO TIPO DE TOPOGRAFIA,161.44
COM007,EQUIPO TIPO DE ELECTRICIDAD,17.39
COM009,EQUIPO TIPO ALBAÑILERIA,16.96
COM010,EQUIPO PARA COLOCACION DE CONCRETO,142.85
COM011,EQUIPO P/MOVIMIENTO DE TIERRA MANUAL,32.7
COM012,EQUIPO PARA DEMOLICION MANUAL,36.35
COM013,EQUIPO DE SEÑALIZACION DIURNO,67.09
COM014,EQUIPO MENOR BASICO PARA UN OBRERO,14.4
COM015,EQUIPO LIVIANO DE TALLER HERRERIA,69.6
COM016,EQUIPO PARA IMPERMEABILIZACION,14.13
COM017,EQUIPO MENOR PARA EXCAVACION Y CARGA MAN,17.65
COM018,"CAMION CISTERNA CAP= 10 M3  CON BOMBA 2""",487.22
COM019,CAMION PLATAFORMA 35 TON 8 M3 CON ESCOLT,473.18
COM023,HERRAMIENTAS DE PLOMERIA,14.3
COM024,"JUEGO DE PALA, PICO Y CARRETILLA",6.25
COM026,"JGO PALA, CUCHARA, PALA, CARRETILLA",5.88
CON001,EQUIPO Y HERRAM. P/PUESTA OBRA CONCRETO,11.01
CON002,EQUIPO Y HERRAM. P/TRAB. ELAB. CONCRETO,13.21
CON003,HERRAMIENTAS PUESTA EN OBRA CONCRETO,18.828
CON004,HERRAMIENTAS PARA PUESTA OBRA CONCRETO,17.6176
CON005,HERRAMIENTAS P/PREPARACION OBRA CONCRETO,8.258700000000001
CON006,MAQUINARIA Y HERR. P/TRABAJO CON CONCRET,12.3328
CON007,"MEZCLADORA P/CONCRETO CAP=0,40 M3 12,2 H",61.662090000000006
CON008,PLANTA TIPO 3 PUESTA OBRA CONCRETO,5.86012
CON009,PLANTA PREPARACION CONCRETO,31.062349500000003
CON010,PLANTA P/CONCRETO SUMIDEROS-CUNETAS-BROC,275.29
